# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
safe 2 L 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
safe 2 J 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
safe 2 T 0 0 0 0 0 0 0 0 0 3 20 0 0 0 0 0 0 0 0
eval 2 I 0 18 0 0 0 0 2 0 -5752.380480678 20 0 0 0 0 0 0 0 0 0
get 2 I 0 18 0 0 0 0 2 0 -5752.380480678 20 0 0 0 0 0 2 -273981541836.439087 0.000000 -273170790218.170258
eval 2 I 1 18 0 0 1 0 2 0 -5752.106158578 20 0 0 0 0 0 0 0 0 0
get 2 I 1 18 0 0 1 0 2 0 -5752.106158578 20 0 0 0 0 0 2 -273981541836.439087 0.000000 -273170828880.399475
eval 2 I 2 18 0 0 2 0 2 0 -5805.391670284 20 0 0 0 0 0 0 0 0 0
get 2 I 2 18 0 0 2 0 2 0 -5805.391670284 20 0 0 0 0 0 2 -273981541836.439087 0.000000 -273163318961.705170
eval 2 I 3 18 0 0 3 0 2 0 -5838.086256994 20 0 0 0 0 0 0 0 0 0
get 2 I 3 18 0 0 3 0 2 0 -5838.086256994 20 0 0 0 0 0 2 -273981541836.439087 0.000000 -273158711073.367920
eval 2 I 4 18 0 0 4 0 2 0 -5832.168622642 20 0 0 0 0 0 0 0 0 0
get 2 I 4 18 0 0 4 0 2 0 -5832.168622642 20 0 0 0 0 0 2 -273981541836.439087 0.000000 -273159545089.058533
eval 2 I 5 18 0 0 0 1 2 0 -5832.168622642 20 0 0 0 0 0 0 0 0 0
get 2 I 5 18 0 0 0 1 2 0 -5832.168622642 20 0 0 0 1 0 2 -273981541836.439087 0.000000 -273159545089.058533
eval 2 O -1 18 0 0 1 1 2 0 -5899.102004429 27 0 0 0 0 0 0 0 0 0
get 2 O -1 18 0 0 1 1 2 0 -5899.102004429 27 0 0 0 1 0 2 0.000000 76935.698244 831507096.385003
eval 2 O 0 18 0 0 2 1 2 0 -5878.904736329 20 0 0 0 0 0 0 0 0 0
get 2 O 0 18 0 0 2 1 2 0 -5878.904736329 20 0 0 0 1 0 2 0.000000 -13184.985145 828570426.303444
eval 2 O 1 18 0 0 3 1 2 0 -5958.023150868 20 0 0 0 0 0 0 0 0 0
get 2 O 1 18 0 0 3 1 2 0 -5958.023150868 20 0 1 0 1 0 2 -999999999.000000 0.000000 -160265648.206684
eval 2 O 2 18 0 0 4 1 2 0 -5942.943429416 27 0 0 0 0 0 0 0 0 0
get 2 O 2 18 0 0 4 1 2 0 -5942.943429416 27 0 1 0 1 0 2 -999999999.000000 90120.683388 -162300823.469819
eval 2 O 3 18 0 0 0 0 2 0 -6035.519339033 27 0 0 0 0 0 0 0 0 0
get 2 O 3 18 0 0 0 0 2 0 -6035.519339033 27 0 1 0 0 0 2 -999999999.000000 90120.683388 -149253420.301199
eval 2 O 4 16 0 0 1 0 2 0 -5389.290642973 20 0 0 0 0 0 0 0 0 0
get 2 O 4 16 0 0 1 0 2 0 -5389.290642973 20 0 0 0 0 0 2 0.000000 -13184.985145 759565514.556069
eval 2 S 0 18 0 0 2 0 2 0 -5968.180785562 27 0 0 0 0 0 0 0 0 0
get 2 S 0 18 0 0 2 0 2 0 -5968.180785562 27 0 0 0 0 0 2 0.000000 76935.698244 841242876.584927
eval 2 S 1 18 0 0 3 0 2 0 -6016.531503829 20 0 0 0 0 0 0 0 0 0
get 2 S 1 18 0 0 3 0 2 0 -6016.531503829 20 0 1 0 0 0 2 -999999999.000000 0.000000 -152019636.118093
eval 2 S 2 18 0 0 4 0 2 0 -6030.694843425 20 0 0 0 0 0 0 0 0 0
get 2 S 2 18 0 0 4 0 2 0 -6030.694843425 20 0 1 0 0 0 2 -999999999.000000 0.000000 -150023492.599897
eval 2 S 3 18 0 0 0 1 2 0 -6100.756439533 27 0 0 0 0 0 0 0 0 0
get 2 S 3 18 0 0 0 1 2 0 -6100.756439533 27 0 1 0 1 0 2 -999999999.000000 90120.683388 -140059076.380662
