# board t x y r type flags is_check is_last_rotate is_ready is_mini_ready
3 L 4 15 1 0 0 0 0 0 0
3 L 5 15 1 0 0 0 0 0 0
3 L 6 15 1 0 0 0 0 0 0
3 L 7 15 1 0 0 0 0 0 0
3 J 0 14 0 0 0 0 0 0 0
3 J 1 14 0 0 0 0 0 0 0
3 J 2 14 0 0 0 0 0 0 0
3 J 3 14 0 0 0 0 0 0 0
3 J 4 14 0 0 0 0 0 0 0
3 J 5 14 0 0 0 0 0 0 0
3 J 6 14 0 0 0 0 0 0 0
3 J 7 14 0 0 0 0 0 0 0
3 J 0 15 3 0 0 0 0 0 0
3 J 1 15 3 0 0 0 0 0 0
3 J 2 15 3 0 0 0 0 0 0
3 J 3 15 3 0 0 0 0 0 0
3 J 4 15 3 0 0 0 0 0 0
3 J 5 15 3 0 0 0 0 0 0
3 J 6 15 3 0 0 0 0 0 0
3 J 7 15 3 0 0 0 0 0 0
3 J 8 15 3 0 0 0 0 0 0
3 J 0 14 2 0 0 0 0 0 0
3 J 1 15 2 0 0 0 0 0 0
3 J 2 14 2 0 0 0 0 0 0
3 J 3 15 2 0 0 0 0 0 0
3 J 4 15 2 0 0 0 0 0 0
3 J 5 14 2 0 0 0 0 0 0
3 J 6 15 2 0 0 0 0 0 0
3 J 7 15 2 0 0 0 0 0 0
3 J -1 13 1 0 0 0 0 0 0
3 J 0 15 1 0 0 0 0 0 0
3 J 1 14 1 0 0 0 0 0 0
3 J 2 15 1 0 0 0 0 0 0
3 J 3 14 1 0 0 0 0 0 0
3 J 4 15 1 0 0 0 0 0 0
3 J 5 15 1 0 0 0 0 0 0
