pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
84,999,16868332502116975057,8174427132987262637,value,legacy,1,0,1,0,1,359,383,371,359,358,253,249,4,0,18,23,24,17,0,0,0,1,0
85,999,7191605161220739692,2572377616259837358,legacy,value,1,0,1,0,1,209,228,213,209,208,151,136,4,1,14,17,7,9,0,0,0,1,0
85,999,7191605161220739692,2572377616259837358,value,legacy,-1,1,0,0,2,388,391,392,387,388,259,280,3,1,19,22,30,25,0,0,0,0,0
86,999,2833476592611952751,11019055937900449838,legacy,value,1,0,1,0,1,101,116,107,101,100,71,62,1,1,4,4,7,6,0,0,0,0,0
86,999,2833476592611952751,11019055937900449838,value,legacy,1,0,1,0,1,1410,1581,1491,1410,1409,1008,1072,8,14,78,85,84,71,0,0,0,1,0
87,999,7758910463658073577,3419981748522741910,legacy,value,1,0,1,0,1,195,177,197,195,194,156,118,3,3,10,13,6,10,0,0,0,1,0
87,999,7758910463658073577,3419981748522741910,value,legacy,1,0,1,0,1,158,196,166,158,157,110,119,1,3,8,5,10,9,0,0,0,0,0
88,999,15854608959003584322,16493750737947867071,legacy,value,1,0,1,0,1,135,143,148,135,134,110,91,1,0,5,7,9,11,0,0,0,0,0
88,999,15854608959003584322,16493750737947867071,value,legacy,1,0,1,0,1,466,520,478,466,465,355,371,3,7,29,26,22,18,0,0,1,0,0
89,999,18398473322949476933,3273305651414323667,legacy,value,1,0,1,0,1,247,279,274,247,246,184,173,2,4,19,11,11,16,0,0,0,1,0
89,999,18398473322949476933,3273305651414323667,value,legacy,-1,1,0,0,2,97,102,109,96,97,66,76,1,0,5,5,4,6,0,0,0,0,0
90,999,1189277486667547316,4688180480421719739,legacy,value,1,0,1,0,1,140,156,149,140,139,115,102,2,1,3,8,9,5,0,0,0,0,0
